계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,2020-12-01 00:00:00,0.0,3.88,6.28,15.36,63.24,1,110,0,110,0.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,0.0,9.965928449744464
반응조B,2020-12-01 00:00:00,0.0,3.28,6.29,14.95,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,0.0,10.053705692803439
반응조A,2020-12-01 00:10:00,0.0,4.51,6.37,15.17,5.8,1,110,10,100,0.0,0.6299999999999999,0.08999999999999986,0.0,0,1,0.0,1.0,0.0,0.0,10.006414368184734
반응조B,2020-12-01 00:10:00,0.0,4.44,6.26,15.01,58.84,1,10,0,10,0.0,1.1600000000000006,-0.03000000000000025,0.0,0,1,0.0,1.0,0.0,0.0,10.04076378459558
반응조A,2020-12-01 00:20:00,0.0,3.72,6.35,15.14,5.68,1,110,20,90,0.0,-0.7899999999999996,-0.020000000000000462,0.0,0,1,0.0,1.0,0.0,0.0,10.012836970474968
반응조B,2020-12-01 00:20:00,0.0,3.97,6.21,14.98,0.0,0,0,0,0,0.0,-0.4700000000000002,-0.04999999999999982,0.0,0,1,0.0,1.0,0.0,0.0,10.047230571060542
반응조A,2020-12-01 00:30:00,0.0,4.23,6.35,15.14,5.76,1,110,30,80,0.0,0.5100000000000002,0.0,0.0,0,1,0.0,1.0,0.0,0.0,10.012836970474968
반응조B,2020-12-01 00:30:00,0.0,4.99,6.17,15.01,0.0,0,0,0,0,0.0,1.02,-0.040000000000000036,0.0,0,1,0.0,1.0,0.0,0.0,10.04076378459558
반응조A,2020-12-01 00:40:00,0.0,3.68,6.38,15.14,5.64,1,110,40,70,0.0,-0.5500000000000003,0.03000000000000025,0.0,0,1,0.0,1.0,0.0,0.0,10.012836970474968
반응조B,2020-12-01 00:40:00,0.0,0.0,6.13,15.04,0.0,0,0,0,0,0.0,-4.99,-0.040000000000000036,0.0,0,1,0.0,1.0,0.0,0.0,10.034305317324185
