계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation,reactor
반응조A,2020-06-01 01:30:00,3.99,2.51,6.39,,6.62,1,160,0,160,0.1900000000000004,0.0,0.009999999999999787,0.019000000000000038,1,0,0.25881904510252074,0.9659258262890683,3.063333333333333,1.58964080093992,,0
반응조A,2020-06-01 01:40:00,4.19,2.51,6.42,,6.56,1,160,10,150,0.20000000000000018,0.0,0.03000000000000025,0.020000000000000018,1,0,0.25881904510252074,0.9659258262890683,3.4633333333333334,1.6693220440948033,,0
반응조A,2020-06-01 01:50:00,4.07,2.51,6.42,,6.58,1,160,20,140,-0.1200000000000001,0.0,0.0,-0.01200000000000001,1,0,0.25881904510252074,0.9659258262890683,3.7483333333333335,1.6215132982018734,,0
반응조A,2020-06-01 02:00:00,3.73,2.51,6.41,,6.48,1,160,30,130,-0.3400000000000003,0.0,-0.009999999999999787,-0.03400000000000003,2,0,0.49999999999999994,0.8660254037844387,3.8833333333333333,1.486055184838572,,0
반응조A,2020-06-01 02:10:00,3.39,2.51,6.38,,6.28,1,160,40,120,-0.33999999999999986,0.0,-0.03000000000000025,-0.03399999999999999,2,0,0.49999999999999994,0.8660254037844387,3.861666666666667,1.3505970714752704,,0
반응조A,2020-06-01 02:20:00,2.97,2.51,6.36,,6.32,1,160,50,110,-0.41999999999999993,0.0,-0.019999999999999574,-0.041999999999999996,2,0,0.49999999999999994,0.8660254037844387,3.723333333333333,1.1832664608500156,,0
반응조A,2020-06-01 02:30:00,2.56,2.51,6.33,,6.22,1,160,60,100,-0.41000000000000014,0.0,-0.03000000000000025,-0.041000000000000016,2,0,0.49999999999999994,0.8660254037844387,3.4850000000000008,1.0199199123825051,,0
반응조A,2020-06-01 02:40:00,2.07,2.51,6.33,,6.34,1,160,70,90,-0.4900000000000002,0.0,0.0,-0.04900000000000002,2,0,0.49999999999999994,0.8660254037844387,3.1316666666666664,0.8247008666530411,,0
반응조A,2020-06-01 02:50:00,1.65,2.51,6.29,,6.16,1,160,80,80,-0.41999999999999993,0.0,-0.040000000000000036,-0.041999999999999996,2,0,0.49999999999999994,0.8660254037844387,2.7283333333333335,0.6573702560277864,,0
반응조A,2020-06-01 03:00:00,1.24,2.51,6.26,,6.08,1,160,90,70,-0.4099999999999999,0.0,-0.03000000000000025,-0.040999999999999995,3,0,0.7071067811865476,0.7071067811865476,2.313333333333333,0.49402370756027586,,0
반응조A,2020-06-01 03:10:00,0.86,2.51,6.22,,5.96,1,160,100,60,-0.38,0.0,-0.040000000000000036,-0.038,3,0,0.7071067811865476,0.7071067811865476,1.8916666666666666,0.3426293455659978,,0
반응조A,2020-06-01 03:20:00,0.49,2.51,6.19,,5.92,1,160,110,50,-0.37,0.0,-0.02999999999999936,-0.037,3,0,0.7071067811865476,0.7071067811865476,1.4783333333333335,0.19521904572946386,,0
반응조A,2020-06-01 03:30:00,0.2,2.51,6.16,,5.94,1,160,120,40,-0.29,0.0,-0.03000000000000025,-0.028999999999999998,3,0,0.7071067811865476,0.7071067811865476,1.085,0.07968124315488322,,0
반응조A,2020-06-01 03:40:00,0.09,2.51,6.16,,5.96,1,160,130,30,-0.11000000000000001,0.0,0.0,-0.011000000000000001,3,0,0.7071067811865476,0.7071067811865476,0.7549999999999999,0.03585655941969744,,0
반응조A,2020-06-01 03:50:00,0.07,2.51,6.16,,5.88,1,160,140,20,-0.01999999999999999,0.0,0.0,-0.001999999999999999,3,0,0.7071067811865476,0.7071067811865476,0.4916666666666667,0.027888435104209124,,0
반응조A,2020-06-01 04:00:00,0.05,2.51,6.15,,5.86,1,160,150,10,-0.020000000000000004,0.0,-0.009999999999999787,-0.0020000000000000005,4,0,0.8660254037844386,0.5000000000000001,0.29333333333333333,0.019920310788720804,,0
반응조A,2020-06-01 06:20:00,0.05,2.51,6.13,,6.98,1,10,0,10,0.010000000000000002,0.0,0.040000000000000036,0.0010000000000000002,6,0,1.0,6.123233995736766e-17,0.034999999999999996,0.019920310788720804,,0
반응조A,2020-06-01 07:40:00,4.06,2.51,6.6,,6.56,1,130,0,130,0.46999999999999975,0.0,0.009999999999999787,0.04699999999999997,7,0,0.9659258262890683,-0.25881904510252063,2.6833333333333336,1.617529236044129,,0
반응조A,2020-06-01 07:50:00,4.12,2.51,6.64,,6.34,1,130,10,120,0.0600000000000005,0.0,0.040000000000000036,0.0060000000000000496,7,0,0.9659258262890683,-0.25881904510252063,3.1533333333333338,1.641433608990594,,0
반응조A,2020-06-01 08:00:00,4.07,2.51,6.66,,6.48,1,130,20,110,-0.04999999999999982,0.0,0.020000000000000462,-0.004999999999999982,8,0,0.8660254037844387,-0.4999999999999998,3.5250000000000004,1.6215132982018734,,0
반응조A,2020-06-01 08:10:00,3.78,2.51,6.64,,6.0,1,130,30,100,-0.2900000000000005,0.0,-0.020000000000000462,-0.029000000000000047,8,0,0.8660254037844387,-0.4999999999999998,3.76,1.5059754956272926,,0
반응조A,2020-06-01 08:20:00,3.33,2.51,6.62,,6.18,1,130,40,90,-0.44999999999999973,0.0,-0.019999999999999574,-0.04499999999999997,8,0,0.8660254037844387,-0.4999999999999998,3.8249999999999997,1.3266926985288054,,0
반응조A,2020-06-01 08:30:00,2.92,2.51,6.6,,5.98,1,130,50,80,-0.41000000000000014,0.0,-0.020000000000000462,-0.041000000000000016,8,0,0.8660254037844387,-0.4999999999999998,3.713333333333333,1.1633461500612947,,0
반응조A,2020-06-01 08:40:00,2.42,2.51,6.61,,5.96,1,130,60,70,-0.5,0.0,0.010000000000000675,-0.05,8,0,0.8660254037844387,-0.4999999999999998,3.44,0.9641430421740868,,0
반응조A,2020-06-01 08:50:00,1.95,2.51,6.55,,5.94,1,130,70,60,-0.47,0.0,-0.0600000000000005,-0.047,8,0,0.8660254037844387,-0.4999999999999998,3.078333333333333,0.7768921207601113,,0
반응조A,2020-06-01 09:00:00,1.49,2.51,6.52,,5.7,1,130,80,50,-0.45999999999999996,0.0,-0.03000000000000025,-0.046,9,0,0.7071067811865476,-0.7071067811865475,2.648333333333333,0.5936252615038798,,0
반응조A,2020-06-01 09:10:00,1.09,2.51,6.46,,5.84,1,130,90,40,-0.3999999999999999,0.0,-0.05999999999999961,-0.039999999999999994,9,0,0.7071067811865476,-0.7071067811865475,2.1999999999999997,0.4342627751941135,,0
반응조A,2020-06-01 09:20:00,0.68,2.51,6.42,,5.66,1,130,100,30,-0.41000000000000003,0.0,-0.040000000000000036,-0.041,9,0,0.7071067811865476,-0.7071067811865475,1.758333333333333,0.2709162267266029,,0
반응조A,2020-06-01 09:30:00,0.3,2.51,6.35,,5.68,1,130,110,20,-0.38000000000000006,0.0,-0.07000000000000028,-0.038000000000000006,9,0,0.7071067811865476,-0.7071067811865475,1.3216666666666665,0.1195218647323248,,0
반응조A,2020-06-01 09:40:00,0.1,2.51,6.35,,5.54,1,130,120,10,-0.19999999999999998,0.0,0.0,-0.019999999999999997,9,0,0.7071067811865476,-0.7071067811865475,0.9349999999999999,0.03984062157744161,,0
반응조A,2020-06-01 11:50:00,0.03,2.51,6.34,,5.88,1,10,0,10,0.009999999999999998,0.0,0.019999999999999574,0.0009999999999999998,11,0,0.258819045102521,-0.9659258262890682,0.030000000000000002,0.011952186473232481,,0
반응조A,2020-06-01 13:10:00,5.16,2.51,6.67,,6.06,1,150,0,150,0.5300000000000002,0.0,0.009999999999999787,0.053000000000000026,13,0,-0.2588190451025208,-0.9659258262890683,3.5866666666666664,2.055776073395987,,0
반응조A,2020-06-01 13:20:00,5.32,2.51,6.71,,6.02,1,150,10,140,0.16000000000000014,0.0,0.040000000000000036,0.016000000000000014,13,0,-0.2588190451025208,-0.9659258262890683,4.171666666666667,2.1195210679198935,,0
반응조A,2020-06-01 13:30:00,5.14,2.51,6.72,,5.92,1,150,20,130,-0.1800000000000006,0.0,0.009999999999999787,-0.01800000000000006,13,0,-0.2588190451025208,-0.9659258262890683,4.591666666666667,2.0478079490804983,,0
반응조A,2020-06-01 13:40:00,4.76,2.51,6.73,,5.84,1,150,30,120,-0.3799999999999999,0.0,0.010000000000000675,-0.03799999999999999,13,0,-0.2588190451025208,-0.9659258262890683,4.836666666666667,1.8964135870862202,,0
반응조A,2020-06-01 13:50:00,4.39,2.51,6.7,,5.66,1,150,40,110,-0.3700000000000001,0.0,-0.03000000000000025,-0.03700000000000001,13,0,-0.2588190451025208,-0.9659258262890683,4.8999999999999995,1.7490032872496863,,0
반응조A,2020-06-01 14:00:00,3.87,2.51,6.69,,5.78,1,150,50,100,-0.5199999999999996,0.0,-0.009999999999999787,-0.051999999999999956,14,0,-0.4999999999999997,-0.8660254037844388,4.773333333333333,1.5418320550469902,,0
반응조A,2020-06-01 14:10:00,3.43,2.51,6.66,,5.46,1,150,60,90,-0.43999999999999995,0.0,-0.03000000000000025,-0.044,14,0,-0.4999999999999997,-0.8660254037844388,4.485,1.366533320106247,,0
반응조A,2020-06-01 14:20:00,2.93,2.51,6.64,,5.48,1,150,70,80,-0.5,0.0,-0.020000000000000462,-0.05,14,0,-0.4999999999999997,-0.8660254037844388,4.086666666666667,1.167330212219039,,0
반응조A,2020-06-01 14:30:00,2.47,2.51,6.6,,5.46,1,150,80,70,-0.45999999999999996,0.0,-0.040000000000000036,-0.046,14,0,-0.4999999999999997,-0.8660254037844388,3.641666666666667,0.9840633529628077,,0
반응조A,2020-06-01 14:40:00,1.94,2.51,6.6,,6.08,1,150,90,60,-0.5300000000000002,0.0,0.0,-0.053000000000000026,14,0,-0.4999999999999997,-0.8660254037844388,3.171666666666667,0.7729080586023671,,0
반응조A,2020-06-01 14:50:00,1.46,2.51,6.54,,5.78,1,150,100,50,-0.48,0.0,-0.05999999999999961,-0.048,14,0,-0.4999999999999997,-0.8660254037844388,2.6833333333333336,0.5816730750306474,,0
반응조A,2020-06-01 15:00:00,1.03,2.51,6.51,,5.58,1,150,110,40,-0.42999999999999994,0.0,-0.03000000000000025,-0.043,15,0,-0.7071067811865471,-0.7071067811865479,2.21,0.4103584022476485,,0
반응조A,2020-06-01 15:10:00,0.64,2.51,6.46,,5.76,1,150,120,30,-0.39,0.0,-0.04999999999999982,-0.039,15,0,-0.7071067811865471,-0.7071067811865479,1.745,0.2549799780956263,,0
반응조A,2020-06-01 15:20:00,0.26,2.51,6.37,,5.6,1,150,130,20,-0.38,0.0,-0.08999999999999986,-0.038,15,0,-0.7071067811865471,-0.7071067811865479,1.3,0.10358561610134817,,0
반응조A,2020-06-01 15:30:00,0.09,2.51,6.34,,5.62,1,150,140,10,-0.17,0.0,-0.03000000000000025,-0.017,15,0,-0.7071067811865471,-0.7071067811865479,0.9033333333333334,0.03585655941969744,,0
반응조A,2020-06-01 19:10:00,3.97,2.51,6.57,,6.16,1,130,0,130,0.33000000000000007,0.0,-0.02999999999999936,0.03300000000000001,19,0,-0.9659258262890684,0.2588190451025203,2.8266666666666667,1.5816726766244318,,0
반응조A,2020-06-01 19:20:00,4.11,2.51,6.5,,6.28,1,130,10,120,0.14000000000000012,0.0,-0.07000000000000028,0.014000000000000012,19,0,-0.9659258262890684,0.2588190451025203,3.2600000000000002,1.63744954683285,,0
반응조A,2020-06-01 19:30:00,3.81,2.51,6.57,,6.54,1,130,20,110,-0.30000000000000027,0.0,0.07000000000000028,-0.030000000000000027,19,0,-0.9659258262890684,0.2588190451025203,3.551666666666667,1.5179276821005252,,0
반응조A,2020-06-01 19:40:00,3.45,2.51,6.47,,6.16,1,130,30,100,-0.3599999999999999,0.0,-0.10000000000000053,-0.03599999999999999,19,0,-0.9659258262890684,0.2588190451025203,3.69,1.3745014444217354,,0
반응조A,2020-06-01 19:50:00,3.06,2.51,6.43,,6.06,1,130,40,90,-0.3900000000000001,0.0,-0.040000000000000036,-0.039000000000000014,19,0,-0.9659258262890684,0.2588190451025203,3.6733333333333333,1.2191230202697132,,0
반응조A,2020-06-01 20:00:00,2.61,2.51,6.4,,6.04,1,130,50,80,-0.4500000000000002,0.0,-0.02999999999999936,-0.04500000000000002,20,0,-0.8660254037844386,0.5000000000000001,3.501666666666667,1.0398402231712258,,0
반응조A,2020-06-01 20:10:00,2.18,2.51,6.36,,6.02,1,130,60,70,-0.4299999999999997,0.0,-0.040000000000000036,-0.04299999999999997,20,0,-0.8660254037844386,0.5000000000000001,3.2033333333333336,0.868525550388227,,0
반응조A,2020-06-01 20:20:00,1.7,2.51,6.35,,6.12,1,130,70,60,-0.4800000000000002,0.0,-0.010000000000000675,-0.04800000000000002,20,0,-0.8660254037844386,0.5000000000000001,2.8016666666666663,0.6772905668165072,,0
반응조A,2020-06-01 20:30:00,1.28,2.51,6.31,,6.02,1,130,80,50,-0.41999999999999993,0.0,-0.040000000000000036,-0.041999999999999996,20,0,-0.8660254037844386,0.5000000000000001,2.38,0.5099599561912526,,0
반응조A,2020-06-01 20:40:00,0.88,2.51,6.27,,5.98,1,130,90,40,-0.4,0.0,-0.040000000000000036,-0.04,20,0,-0.8660254037844386,0.5000000000000001,1.9516666666666669,0.3505974698814861,,0
반응조A,2020-06-01 20:50:00,0.5,2.51,6.23,,5.86,1,130,100,30,-0.38,0.0,-0.03999999999999915,-0.038,20,0,-0.8660254037844386,0.5000000000000001,1.5250000000000001,0.19920310788720802,,0
반응조A,2020-06-01 21:00:00,0.19,2.51,6.2,,5.98,1,130,110,20,-0.31,0.0,-0.03000000000000025,-0.031,21,0,-0.7071067811865477,0.7071067811865474,1.1216666666666668,0.07569718099713905,,0
반응조A,2020-06-01 21:10:00,0.08,2.51,6.13,,6.06,1,130,120,10,-0.11,0.0,-0.07000000000000028,-0.011,21,0,-0.7071067811865477,0.7071067811865474,0.7716666666666666,0.031872497261953285,,0
반응조A,2020-06-02 01:00:00,4.22,2.51,6.46,,6.42,1,140,0,140,0.2699999999999996,0.0,0.03000000000000025,0.026999999999999958,1,1,0.25881904510252074,0.9659258262890683,3.1533333333333338,1.6812742305680355,,0
반응조A,2020-06-02 01:10:00,4.26,2.51,6.47,,6.24,1,140,10,130,0.040000000000000036,0.0,0.009999999999999787,0.0040000000000000036,1,1,0.25881904510252074,0.9659258262890683,3.5516666666666663,1.6972104791990121,,0
반응조A,2020-06-02 01:20:00,4.07,2.51,6.47,,6.46,1,140,20,120,-0.1899999999999995,0.0,0.0,-0.01899999999999995,1,1,0.25881904510252074,0.9659258262890683,3.828333333333333,1.6215132982018734,,0
반응조A,2020-06-02 01:30:00,3.76,2.51,6.46,,6.24,1,140,30,110,-0.3100000000000005,0.0,-0.009999999999999787,-0.03100000000000005,1,1,0.25881904510252074,0.9659258262890683,3.961666666666666,1.4980073713118043,,0
반응조A,2020-06-02 01:40:00,3.34,2.51,6.44,,6.26,1,140,40,100,-0.41999999999999993,0.0,-0.019999999999999574,-0.041999999999999996,1,1,0.25881904510252074,0.9659258262890683,3.9333333333333336,1.3306767606865495,,0
반응조A,2020-06-02 01:50:00,2.94,2.51,6.41,,6.62,1,140,50,90,-0.3999999999999999,0.0,-0.03000000000000025,-0.039999999999999994,1,1,0.25881904510252074,0.9659258262890683,3.765,1.171314274376783,,0
반응조A,2020-06-02 02:00:00,2.45,2.51,6.41,,6.18,1,140,60,80,-0.48999999999999977,0.0,0.0,-0.048999999999999974,2,1,0.49999999999999994,0.8660254037844387,3.4699999999999993,0.9760952286473193,,0
반응조A,2020-06-02 02:10:00,2.02,2.51,6.37,,6.0,1,140,70,70,-0.43000000000000016,0.0,-0.040000000000000036,-0.04300000000000002,2,1,0.49999999999999994,0.8660254037844387,3.0966666666666662,0.8047805558643204,,0
반응조A,2020-06-02 02:20:00,1.56,2.51,6.34,,6.08,1,140,80,60,-0.45999999999999996,0.0,-0.03000000000000025,-0.046,2,1,0.49999999999999994,0.8660254037844387,2.6783333333333332,0.6215136966080891,,0
반응조A,2020-06-02 02:30:00,1.16,2.51,6.29,,6.1,1,140,90,50,-0.40000000000000013,0.0,-0.04999999999999982,-0.040000000000000015,2,1,0.49999999999999994,0.8660254037844387,2.245,0.46215121029832257,,0
반응조A,2020-06-02 02:40:00,0.76,2.51,6.26,,5.38,1,140,100,40,-0.3999999999999999,0.0,-0.03000000000000025,-0.039999999999999994,2,1,0.49999999999999994,0.8660254037844387,1.8150000000000002,0.3027887239885562,,0
반응조A,2020-06-02 02:50:00,0.4,2.51,6.22,,5.36,1,140,110,30,-0.36,0.0,-0.040000000000000036,-0.036,2,1,0.49999999999999994,0.8660254037844387,1.3916666666666668,0.15936248630976643,,0
반응조A,2020-06-02 03:00:00,0.15,2.51,6.2,,5.42,1,140,120,20,-0.25,0.0,-0.019999999999999574,-0.025,3,1,0.7071067811865476,0.7071067811865476,1.0083333333333333,0.0597609323661624,,0
반응조A,2020-06-02 03:10:00,0.08,2.51,6.14,,5.48,1,140,130,10,-0.06999999999999999,0.0,-0.0600000000000005,-0.006999999999999999,3,1,0.7071067811865476,0.7071067811865476,0.685,0.031872497261953285,,0
반응조A,2020-06-02 05:30:00,0.04,2.51,6.14,,3.62,1,10,0,10,0.010000000000000002,0.0,0.0,0.0010000000000000002,5,1,0.9659258262890683,0.25881904510252074,0.03833333333333334,0.015936248630976643,,0
반응조A,2020-06-02 07:10:00,3.7,2.51,6.62,,6.18,1,120,0,120,0.07000000000000028,0.0,0.020000000000000462,0.007000000000000029,7,1,0.9659258262890683,-0.25881904510252063,3.1199999999999997,1.4741029983653393,,0
반응조A,2020-06-02 07:20:00,3.85,2.51,6.66,,6.16,1,120,10,110,0.1499999999999999,0.0,0.040000000000000036,0.01499999999999999,7,1,0.9659258262890683,-0.25881904510252063,3.401666666666667,1.5338639307315018,,0
반응조A,2020-06-02 07:30:00,3.77,2.51,6.67,,6.22,1,120,20,100,-0.08000000000000007,0.0,0.009999999999999787,-0.008000000000000007,7,1,0.9659258262890683,-0.25881904510252063,3.59,1.5019914334695486,,0
반응조A,2020-06-02 07:40:00,3.4,2.51,6.66,,6.46,1,120,30,90,-0.3700000000000001,0.0,-0.009999999999999787,-0.03700000000000001,7,1,0.9659258262890683,-0.25881904510252063,3.641666666666667,1.3545811336330145,,0
반응조A,2020-06-02 07:50:00,3.04,2.51,6.63,,6.08,1,120,40,80,-0.3599999999999999,0.0,-0.03000000000000025,-0.03599999999999999,7,1,0.9659258262890683,-0.25881904510252063,3.565,1.2111548959542249,,0
반응조A,2020-06-02 08:00:00,2.57,2.51,6.61,,5.96,1,120,50,70,-0.4700000000000002,0.0,-0.019999999999999574,-0.04700000000000002,8,1,0.8660254037844387,-0.4999999999999998,3.3883333333333336,1.0239039745402492,,0
반응조A,2020-06-02 08:10:00,2.13,2.51,6.57,,5.94,1,120,60,60,-0.43999999999999995,0.0,-0.040000000000000036,-0.044,8,1,0.8660254037844387,-0.4999999999999998,3.126666666666667,0.8486052395995061,,0
반응조A,2020-06-02 08:20:00,1.66,2.51,6.53,,5.64,1,120,70,50,-0.47,0.0,-0.040000000000000036,-0.047,8,1,0.8660254037844387,-0.4999999999999998,2.7616666666666667,0.6613543181855306,,0
반응조A,2020-06-02 08:30:00,1.24,2.51,6.52,,6.02,1,120,80,40,-0.41999999999999993,0.0,-0.010000000000000675,-0.041999999999999996,8,1,0.8660254037844387,-0.4999999999999998,2.34,0.49402370756027586,,0
반응조A,2020-06-02 08:40:00,0.85,2.51,6.49,,5.7,1,120,90,30,-0.39,0.0,-0.02999999999999936,-0.039,8,1,0.8660254037844387,-0.4999999999999998,1.915,0.3386452834082536,,0
반응조A,2020-06-02 08:50:00,0.5,2.51,6.44,,5.62,1,120,100,20,-0.35,0.0,-0.04999999999999982,-0.034999999999999996,8,1,0.8660254037844387,-0.4999999999999998,1.4916666666666665,0.19920310788720802,,0
반응조A,2020-06-02 09:00:00,0.17,2.51,6.37,,5.58,1,120,110,10,-0.32999999999999996,0.0,-0.07000000000000028,-0.032999999999999995,9,1,0.7071067811865476,-0.7071067811865475,1.0916666666666666,0.06772905668165073,,0
반응조A,2020-06-02 11:20:00,0.03,2.51,6.33,,6.04,1,10,0,10,-0.010000000000000002,0.0,0.020000000000000462,-0.0010000000000000002,11,1,0.258819045102521,-0.9659258262890682,0.035,0.011952186473232481,,0
반응조A,2020-06-02 12:40:00,5.35,2.51,6.62,,6.22,1,160,0,160,0.3899999999999997,0.0,0.009999999999999787,0.038999999999999965,12,1,1.2246467991473532e-16,-1.0,3.7933333333333334,2.131473254393126,,0
반응조A,2020-06-02 12:50:00,5.76,2.51,6.64,,6.34,1,160,10,150,0.41000000000000014,0.0,0.019999999999999574,0.041000000000000016,12,1,1.2246467991473532e-16,-1.0,4.42,2.294819802860636,,0
반응조A,2020-06-02 13:00:00,5.67,2.51,6.66,,6.1,1,160,20,140,-0.08999999999999986,0.0,0.020000000000000462,-0.008999999999999985,13,1,-0.2588190451025208,-0.9659258262890683,4.906666666666667,2.258963243440939,,0
반응조A,2020-06-02 13:10:00,5.37,2.51,6.66,,5.94,1,160,30,130,-0.2999999999999998,0.0,0.0,-0.02999999999999998,13,1,-0.2588190451025208,-0.9659258262890683,5.223333333333333,2.139441378708614,,0
반응조A,2020-06-02 13:20:00,4.91,2.51,6.65,,5.92,1,160,40,120,-0.45999999999999996,0.0,-0.009999999999999787,-0.046,13,1,-0.2588190451025208,-0.9659258262890683,5.336666666666667,1.9561745194523827,,0
반응조A,2020-06-02 13:30:00,4.53,2.51,6.61,,5.7,1,160,50,110,-0.3799999999999999,0.0,-0.040000000000000036,-0.03799999999999999,13,1,-0.2588190451025208,-0.9659258262890683,5.265,1.8047801574581048,,0
