계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation,reactor
반응조A,2020-12-01 01:00:00,0.45,1.82,6.29,14.01,7.16,1,10,0,10,0.020000000000000018,-0.050000000000000044,0.03000000000000025,0.0020000000000000018,1,1,0.25881904510252074,0.9659258262890683,0.42333333333333334,0.24725261139966406,10.260907695680771,0
반응조A,2020-12-01 02:20:00,4.38,0.0,6.54,13.92,6.9,1,120,0,120,0.33999999999999986,-0.83,0.020000000000000462,0.03399999999999999,2,1,0.49999999999999994,0.8660254037844387,3.0366666666666666,4380000.0,10.281195079086116,0
반응조A,2020-12-01 02:30:00,4.32,1.89,6.53,13.89,6.78,1,120,10,110,-0.05999999999999961,1.89,-0.009999999999999787,-0.005999999999999961,2,1,0.49999999999999994,0.8660254037844387,3.5199999999999996,2.285713076342288,10.28797537920422,0
반응조A,2020-12-01 02:40:00,3.9,2.79,6.51,13.89,6.7,1,120,20,100,-0.4200000000000004,0.9000000000000001,-0.020000000000000462,-0.04200000000000004,2,1,0.49999999999999994,0.8660254037844387,3.8200000000000003,1.3978489613444582,10.28797537920422,0
반응조A,2020-12-01 02:50:00,3.33,1.93,6.47,13.89,6.88,1,120,30,90,-0.5699999999999998,-0.8600000000000001,-0.040000000000000036,-0.05699999999999998,2,1,0.49999999999999994,0.8660254037844387,3.905,1.7253877070530017,10.28797537920422,0
반응조A,2020-12-01 03:00:00,2.73,2.43,6.43,13.89,6.56,1,120,40,80,-0.6000000000000001,0.5000000000000002,-0.040000000000000036,-0.06000000000000001,3,1,0.7071067811865476,0.7071067811865476,3.783333333333333,1.1234563277957497,10.28797537920422,0
반응조A,2020-12-01 03:10:00,2.12,14.95,6.39,13.89,6.72,1,120,50,70,-0.6099999999999999,12.52,-0.040000000000000036,-0.060999999999999985,3,1,0.7071067811865476,0.7071067811865476,3.4633333333333334,0.14180601058153777,10.28797537920422,0
반응조A,2020-12-01 03:20:00,1.47,8.8,6.34,13.89,6.78,1,120,60,60,-0.6500000000000001,-6.149999999999999,-0.04999999999999982,-0.06500000000000002,3,1,0.7071067811865476,0.7071067811865476,2.9783333333333335,0.16704543556301868,10.28797537920422,0
반응조A,2020-12-01 03:30:00,0.92,4.59,6.29,13.89,6.78,1,120,70,50,-0.5499999999999999,-4.210000000000001,-0.04999999999999982,-0.05499999999999999,3,1,0.7071067811865476,0.7071067811865476,2.4116666666666666,0.20043568617958907,10.28797537920422,0
반응조A,2020-12-01 03:40:00,0.53,2.99,6.28,13.92,6.62,1,120,80,40,-0.39,-1.5999999999999996,-0.009999999999999787,-0.039,3,1,0.7071067811865476,0.7071067811865476,1.8500000000000003,0.17725746580017865,10.281195079086116,0
반응조A,2020-12-01 03:50:00,0.34,0.0,6.34,13.95,6.42,1,120,90,30,-0.19,-2.99,0.05999999999999961,-0.019,3,1,0.7071067811865476,0.7071067811865476,1.3516666666666668,340000.00000000006,10.274423710208563,0
반응조A,2020-12-01 04:00:00,0.28,5.23,6.34,13.92,6.42,1,120,100,20,-0.06,5.23,0.0,-0.006,4,1,0.8660254037844386,0.5000000000000001,0.9433333333333334,0.05353727465826488,10.281195079086116,0
반응조A,2020-12-01 04:10:00,0.25,0.0,6.34,13.95,6.0,1,120,110,10,-0.030000000000000027,-5.23,0.0,-0.0030000000000000027,4,1,0.8660254037844386,0.5000000000000001,0.6316666666666667,250000.0,10.274423710208563,0
반응조A,2020-12-01 06:50:00,0.41,2.82,6.36,14.01,6.76,1,10,0,10,-0.06,2.82,0.020000000000000462,-0.006,6,1,1.0,6.123233995736766e-17,0.42333333333333334,0.14539001936524135,10.260907695680771,0
반응조A,2020-12-01 08:10:00,2.1,0.0,6.78,13.89,6.6,1,90,0,90,-0.1200000000000001,-1.53,0.1800000000000006,-0.01200000000000001,8,1,0.8660254037844387,-0.4999999999999998,1.925,2100000.0,10.28797537920422,0
반응조A,2020-12-01 08:20:00,1.73,3.88,6.74,13.89,6.38,1,90,10,80,-0.3700000000000001,3.88,-0.040000000000000036,-0.03700000000000001,8,1,0.8660254037844387,-0.4999999999999998,2.013333333333333,0.44587617374325417,10.28797537920422,0
반응조A,2020-12-01 08:30:00,1.29,2.85,6.73,13.89,6.68,1,90,20,70,-0.43999999999999995,-1.0299999999999998,-0.009999999999999787,-0.044,8,1,0.8660254037844387,-0.4999999999999998,1.9433333333333334,0.4526314201293262,10.28797537920422,0
반응조A,2020-12-01 08:40:00,1.45,0.0,6.7,13.89,6.4,1,90,30,60,0.15999999999999992,-2.85,-0.03000000000000025,0.015999999999999993,8,1,0.8660254037844387,-0.4999999999999998,1.8383333333333336,1450000.0,10.28797537920422,0
반응조A,2020-12-01 08:50:00,1.79,4.5,6.7,13.89,6.36,1,90,40,50,0.3400000000000001,4.5,0.0,0.03400000000000001,8,1,0.8660254037844387,-0.4999999999999998,1.7633333333333334,0.39777768938273567,10.28797537920422,0
반응조A,2020-12-01 09:00:00,1.84,1.47,6.68,13.86,6.38,1,90,50,40,0.050000000000000044,-3.0300000000000002,-0.020000000000000462,0.0050000000000000044,9,1,0.7071067811865476,-0.7071067811865475,1.7,1.251699828775627,10.29476462824461,0
반응조A,2020-12-01 09:10:00,1.42,7.67,6.64,13.86,5.96,1,90,60,30,-0.42000000000000015,6.2,-0.040000000000000036,-0.042000000000000016,9,1,0.7071067811865476,-0.7071067811865475,1.5866666666666667,0.1851368728635107,10.29476462824461,0
반응조A,2020-12-01 09:20:00,0.96,8.7,6.63,13.86,5.86,1,90,70,20,-0.45999999999999996,1.0299999999999994,-0.009999999999999787,-0.046,9,1,0.7071067811865476,-0.7071067811865475,1.4583333333333333,0.11034481490289486,10.29476462824461,0
반응조A,2020-12-01 09:30:00,0.59,4.73,6.55,13.86,5.66,1,90,80,10,-0.37,-3.969999999999999,-0.08000000000000007,-0.037,9,1,0.7071067811865476,-0.7071067811865475,1.3416666666666668,0.12473570301570759,10.29476462824461,0
