계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,2020-10-01 00:00:00,0.0,3.11,6.17,21.33,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0.0,1.0,0.0,0.0,8.84186661628566
반응조B,2020-10-01 00:00:00,3.21,2.12,6.27,21.11,55.84,1,60,0,60,0.0,0.0,0.0,0.0,0,3,0.0,1.0,3.21,1.51415022917442,8.87877063175868
반응조A,2020-10-01 00:10:00,0.0,3.32,6.17,21.33,0.0,0,0,0,0,0.0,0.20999999999999996,0.0,0.0,0,3,0.0,1.0,0.0,0.0,8.84186661628566
반응조B,2020-10-01 00:10:00,2.49,1.75,6.27,21.11,56.32,1,60,10,50,-0.7199999999999998,-0.3700000000000001,0.0,-0.07199999999999998,0,3,0.0,1.0,2.85,1.4228563297963832,8.87877063175868
반응조A,2020-10-01 00:20:00,0.0,3.33,6.18,21.33,0.0,0,0,0,0,0.0,0.010000000000000231,0.009999999999999787,0.0,0,3,0.0,1.0,0.0,0.0,8.84186661628566
반응조B,2020-10-01 00:20:00,1.89,1.92,6.25,21.14,54.08,1,60,20,40,-0.6000000000000003,0.16999999999999993,-0.019999999999999574,-0.06000000000000003,0,3,0.0,1.0,2.53,0.9843744873049546,8.87372013651877
반응조A,2020-10-01 00:30:00,0.0,3.22,6.18,21.33,60.88,1,20,0,20,0.0,-0.10999999999999988,0.0,0.0,0,3,0.0,1.0,0.0,0.0,8.84186661628566
반응조B,2020-10-01 00:30:00,0.87,2.37,6.22,21.14,61.2,1,60,30,30,-1.02,0.4500000000000002,-0.03000000000000025,-0.10200000000000001,0,3,0.0,1.0,2.115,0.36708845270529417,8.87372013651877
반응조A,2020-10-01 00:40:00,0.0,1.66,6.23,21.23,3.28,1,20,10,10,0.0,-1.5600000000000003,0.05000000000000071,0.0,0,3,0.0,1.0,0.0,0.0,8.858603066439523
반응조B,2020-10-01 00:40:00,0.23,3.0,6.18,21.14,57.64,1,60,40,20,-0.64,0.6299999999999999,-0.040000000000000036,-0.064,0,3,0.0,1.0,1.738,0.07666664111111963,8.87372013651877
반응조A,2020-10-01 00:50:00,0.0,2.26,6.26,21.23,2.8,0,0,0,0,0.0,0.5999999999999999,0.02999999999999936,0.0,0,3,0.0,1.0,0.0,0.0,8.858603066439523
반응조B,2020-10-01 00:50:00,0.0,3.2,6.17,21.14,55.44,1,60,50,10,-0.23,0.20000000000000018,-0.009999999999999787,-0.023,0,3,0.0,1.0,1.4483333333333333,0.0,8.87372013651877
반응조A,2020-10-01 01:00:00,0.0,0.86,6.29,21.23,2.68,0,0,0,0,0.0,-1.4,0.03000000000000025,0.0,1,3,0.25881904510252074,0.9659258262890683,0.0,0.0,8.858603066439523
반응조B,2020-10-01 01:00:00,0.0,4.84,6.12,21.14,0.0,0,0,0,0,0.0,1.6399999999999997,-0.04999999999999982,0.0,1,3,0.25881904510252074,0.9659258262890683,0.9133333333333334,0.0,8.87372013651877
반응조A,2020-10-01 01:10:00,0.0,0.38,6.33,21.26,2.52,0,0,0,0,0.0,-0.48,0.040000000000000036,0.0,1,3,0.25881904510252074,0.9659258262890683,0.0,0.0,8.853575482406356
반응조B,2020-10-01 01:10:00,0.0,4.36,6.08,21.2,57.44,1,10,0,10,0.0,-0.47999999999999954,-0.040000000000000036,0.0,1,3,0.25881904510252074,0.9659258262890683,0.4983333333333333,0.0,8.863636363636363
반응조A,2020-10-01 01:20:00,0.31,1.04,6.34,21.2,3.0,0,0,0,0,0.31,0.66,0.009999999999999787,0.031,1,3,0.25881904510252074,0.9659258262890683,0.051666666666666666,0.2980766364647726,8.863636363636363
반응조B,2020-10-01 01:20:00,0.0,3.8,6.04,21.2,0.0,0,0,0,0,0.0,-0.5600000000000005,-0.040000000000000036,0.0,1,3,0.25881904510252074,0.9659258262890683,0.18333333333333335,0.0,8.863636363636363
반응조A,2020-10-01 01:30:00,1.27,0.55,6.34,21.2,2.44,0,0,0,0,0.96,-0.49,0.0,0.096,1,3,0.25881904510252074,0.9659258262890683,0.26333333333333336,2.309086710751435,8.863636363636363
반응조B,2020-10-01 01:30:00,0.0,3.89,6.02,21.23,0.0,0,0,0,0,0.0,0.0900000000000003,-0.020000000000000462,0.0,1,3,0.25881904510252074,0.9659258262890683,0.03833333333333334,0.0,8.858603066439523
