계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,2020-06-01 00:00:00,0.0,-999.0,5.86,,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,-0.0,
반응조B,2020-06-01 00:00:00,0.0,-999.0,5.95,,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,-0.0,
반응조A,2020-06-01 00:10:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,-0.010000000000000675,0.0,0,0,0.0,1.0,0.0,-0.0,
반응조B,2020-06-01 00:10:00,0.43,-999.0,6.08,,,0,0,0,0,0.43,0.0,0.1299999999999999,0.043,0,0,0.0,1.0,0.215,-0.0004304304308612917,
반응조A,2020-06-01 00:20:00,0.0,-999.0,5.84,,,0,0,0,0,0.0,0.0,-0.009999999999999787,0.0,0,0,0.0,1.0,0.0,-0.0,
반응조B,2020-06-01 00:20:00,1.13,-999.0,6.1,,,0,0,0,0,0.7,0.0,0.019999999999999574,0.06999999999999999,0,0,0.0,1.0,0.5199999999999999,-0.0011311311322633943,
반응조A,2020-06-01 00:30:00,0.0,-999.0,5.84,,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,-0.0,
반응조B,2020-06-01 00:30:00,1.81,-999.0,6.11,,,0,0,0,0,0.6800000000000002,0.0,0.010000000000000675,0.06800000000000002,0,0,0.0,1.0,0.8425,-0.0018118118136254374,
반응조A,2020-06-01 00:40:00,0.0,-999.0,5.84,,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,-0.0,
반응조B,2020-06-01 00:40:00,2.39,-999.0,6.14,,,0,0,0,0,0.5800000000000001,0.0,0.02999999999999936,0.05800000000000001,0,0,0.0,1.0,1.152,-0.0023923923947871796,
반응조A,2020-06-01 00:50:00,0.0,-999.0,5.84,,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,-0.0,
반응조B,2020-06-01 00:50:00,2.63,-999.0,6.15,,,0,0,0,0,0.23999999999999977,0.0,0.010000000000000675,0.023999999999999976,0,0,0.0,1.0,1.3983333333333334,-0.0026326326352679006,
반응조A,2020-06-01 01:00:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,0.009999999999999787,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,-0.0,
반응조B,2020-06-01 01:00:00,2.56,-999.0,6.15,,,0,0,0,0,-0.06999999999999984,0.0,0.0,-0.006999999999999984,1,0,0.25881904510252074,0.9659258262890683,1.825,-0.0025625625651276903,
반응조A,2020-06-01 01:10:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,-0.0,
반응조B,2020-06-01 01:10:00,2.97,-999.0,6.16,,,0,0,0,0,0.41000000000000014,0.0,0.009999999999999787,0.041000000000000016,1,0,0.25881904510252074,0.9659258262890683,2.2483333333333335,-0.002972972975948922,
반응조A,2020-06-01 01:20:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,-0.0,
반응조B,2020-06-01 01:20:00,2.57,-999.0,6.15,,,0,0,0,0,-0.40000000000000036,0.0,-0.009999999999999787,-0.040000000000000036,1,0,0.25881904510252074,0.9659258262890683,2.4883333333333333,-0.00257257257514772,
반응조A,2020-06-01 01:30:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,-0.0,
반응조B,2020-06-01 01:30:00,2.16,-999.0,6.16,,,0,0,0,0,-0.4099999999999997,0.0,0.009999999999999787,-0.04099999999999997,1,0,0.25881904510252074,0.9659258262890683,2.546666666666667,-0.0021621621643264886,
반응조A,2020-06-01 01:40:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,-0.0,
반응조B,2020-06-01 01:40:00,1.7,-999.0,6.15,,,0,0,0,0,-0.4600000000000002,0.0,-0.009999999999999787,-0.04600000000000002,1,0,0.25881904510252074,0.9659258262890683,2.4316666666666666,-0.0017017017034051069,
반응조A,2020-06-01 01:50:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.25881904510252074,0.9659258262890683,0.0,-0.0,
반응조B,2020-06-01 01:50:00,1.28,-999.0,6.12,,,0,0,0,0,-0.41999999999999993,0.0,-0.03000000000000025,-0.041999999999999996,1,0,0.25881904510252074,0.9659258262890683,2.206666666666667,-0.0012812812825638452,
반응조A,2020-06-01 02:00:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0.49999999999999994,0.8660254037844387,0.0,-0.0,
반응조B,2020-06-01 02:00:00,0.91,-999.0,6.08,,,0,0,0,0,-0.37,0.0,-0.040000000000000036,-0.037,2,0,0.49999999999999994,0.8660254037844387,1.9316666666666666,-0.0009109109118227337,
반응조A,2020-06-01 02:10:00,0.0,-999.0,5.85,,,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0.49999999999999994,0.8660254037844387,0.0,-0.0,
반응조B,2020-06-01 02:10:00,0.8,-999.0,6.07,,,0,0,0,0,-0.10999999999999999,0.0,-0.009999999999999787,-0.011,2,0,0.49999999999999994,0.8660254037844387,1.57,-0.0008008008016024032,
반응조A,2020-06-01 02:20:00,0.0,-999.0,5.92,,,0,0,0,0,0.0,0.0,0.07000000000000028,0.0,2,0,0.49999999999999994,0.8660254037844387,0.0,-0.0,
반응조B,2020-06-01 02:20:00,0.2,-999.0,6.04,,,0,0,0,0,-0.6000000000000001,0.0,-0.03000000000000025,-0.06000000000000001,2,0,0.49999999999999994,0.8660254037844387,1.175,-0.0002002002004006008,
반응조A,2020-06-01 02:30:00,0.0,-999.0,5.93,,,0,0,0,0,0.0,0.0,0.009999999999999787,0.0,2,0,0.49999999999999994,0.8660254037844387,0.0,-0.0,
반응조B,2020-06-01 02:30:00,0.0,-999.0,6.01,,,0,0,0,0,-0.2,0.0,-0.03000000000000025,-0.02,2,0,0.49999999999999994,0.8660254037844387,0.8150000000000001,-0.0,
반응조A,2020-06-01 02:40:00,0.41,-999.0,5.97,,,0,0,0,0,0.41,0.0,0.040000000000000036,0.040999999999999995,2,0,0.49999999999999994,0.8660254037844387,0.06833333333333333,-0.00041041041082123163,
반응조B,2020-06-01 02:40:00,0.0,-999.0,5.98,,,0,0,0,0,0.0,0.0,-0.02999999999999936,0.0,2,0,0.49999999999999994,0.8660254037844387,0.5316666666666667,-0.0,
반응조A,2020-06-01 02:50:00,0.91,-999.0,6.0,,,0,0,0,0,0.5,0.0,0.03000000000000025,0.05,2,0,0.49999999999999994,0.8660254037844387,0.22,-0.0009109109118227337,
반응조B,2020-06-01 02:50:00,0.0,-999.0,5.95,,,0,0,0,0,0.0,0.0,-0.03000000000000025,0.0,2,0,0.49999999999999994,0.8660254037844387,0.31833333333333336,-0.0,
반응조A,2020-06-01 03:00:00,1.43,-999.0,6.02,,,0,0,0,0,0.5199999999999999,0.0,0.019999999999999574,0.05199999999999999,3,0,0.7071067811865476,0.7071067811865476,0.4583333333333333,-0.0014314314328642956,
반응조B,2020-06-01 03:00:00,0.0,-999.0,5.92,,,0,0,0,0,0.0,0.0,-0.03000000000000025,0.0,3,0,0.7071067811865476,0.7071067811865476,0.16666666666666666,-0.0,
반응조A,2020-06-01 03:10:00,2.0,-999.0,6.03,,,0,0,0,0,0.5700000000000001,0.0,0.010000000000000675,0.05700000000000001,3,0,0.7071067811865476,0.7071067811865476,0.7916666666666666,-0.002002002004006008,
반응조B,2020-06-01 03:10:00,0.0,-999.0,5.92,,,0,0,0,0,0.0,0.0,0.0,0.0,3,0,0.7071067811865476,0.7071067811865476,0.03333333333333333,-0.0,
반응조A,2020-06-01 03:20:00,2.52,-999.0,6.04,,,0,0,0,0,0.52,0.0,0.009999999999999787,0.052000000000000005,3,0,0.7071067811865476,0.7071067811865476,1.2116666666666667,-0.0025225225250475702,
반응조B,2020-06-01 03:20:00,0.0,-999.0,5.93,,,0,0,0,0,0.0,0.0,0.009999999999999787,0.0,3,0,0.7071067811865476,0.7071067811865476,0.0,-0.0,
반응조A,2020-06-01 03:30:00,3.01,-999.0,6.05,,,0,0,0,0,0.48999999999999977,0.0,0.009999999999999787,0.048999999999999974,3,0,0.7071067811865476,0.7071067811865476,1.7133333333333332,-0.003013013016029042,
반응조B,2020-06-01 03:30:00,0.0,-999.0,5.95,,,0,0,0,0,0.0,0.0,0.020000000000000462,0.0,3,0,0.7071067811865476,0.7071067811865476,0.0,-0.0,
반응조A,2020-06-01 03:40:00,3.52,-999.0,6.05,,,0,0,0,0,0.5100000000000002,0.0,0.0,0.051000000000000024,3,0,0.7071067811865476,0.7071067811865476,2.2316666666666665,-0.003523523527050574,
반응조B,2020-06-01 03:40:00,0.0,-999.0,5.95,,,0,0,0,0,0.0,0.0,0.0,0.0,3,0,0.7071067811865476,0.7071067811865476,0.0,-0.0,
반응조A,2020-06-01 03:50:00,4.0,-999.0,6.06,,,0,0,0,0,0.48,0.0,0.009999999999999787,0.048,3,0,0.7071067811865476,0.7071067811865476,2.746666666666666,-0.004004004008012016,
