계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,09월01월20 0:00,0,6.11,24.01,,4.52,1,140,0,140,0,0,0,0,0,1,0,1,0,0,
반응조B,09월01월20 0:00,0,5.98,23.95,,55.08,1,10,0,10,0,0,0,0,0,1,0,1,0,0,
반응조A,09월01월20 0:10,0,6.15,24.01,,4.36,1,140,10,130,0,0.04,0,0,0,1,0,1,0,0,
반응조B,09월01월20 0:10,0,5.98,23.95,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
반응조A,09월01월20 0:20,0,6.17,24.01,,3.88,1,140,20,120,0,0.02,0,0,0,1,0,1,0,0,
반응조B,09월01월20 0:20,0,5.97,23.95,,0,0,0,0,0,0,-0.01,0,0,0,1,0,1,0,0,
반응조A,09월01월20 0:30,0,6.2,23.98,,4.24,1,140,30,110,0,0.03,-0.03,0,0,1,0,1,0,0,
반응조B,09월01월20 0:30,0,5.98,23.98,,0,0,0,0,0,0,0.01,0.03,0,0,1,0,1,0,0,
반응조A,09월01월20 0:40,0,6.2,23.95,,4.52,1,140,40,100,0,0,-0.03,0,0,1,0,1,0,0,
반응조B,09월01월20 0:40,0,6,24.01,,0,0,0,0,0,0,0.02,0.03,0,0,1,0,1,0,0,
반응조A,09월01월20 0:50,0.35,6.22,23.95,,3.96,1,140,50,90,0.35,0.02,0,0.035,0,1,0,1,0.058333333,0.056270087,
반응조B,09월01월20 0:50,0,5.99,24.01,,0,0,0,0,0,0,-0.01,0,0,0,1,0,1,0,0,
반응조A,09월01월20 1:00,0.89,6.22,23.95,,4.52,1,140,60,80,0.54,0,0,0.054,1,1,0.258819045,0.965925826,0.206666667,0.143086794,
반응조B,09월01월20 1:00,0,5.99,24.01,,0,0,0,0,0,0,0,0,0,1,1,0.258819045,0.965925826,0,0,
반응조A,09월01월20 1:10,1.42,6.23,23.92,,4.4,1,140,70,70,0.53,0.01,-0.03,0.053,1,1,0.258819045,0.965925826,0.443333333,0.227929337,
반응조B,09월01월20 1:10,0,5.98,24.01,,0,0,0,0,0,0,-0.01,0,0,1,1,0.258819045,0.965925826,0,0,
반응조A,09월01월20 1:20,1.92,6.23,23.89,,4.36,1,140,80,60,0.5,0,-0.03,0.05,1,1,0.258819045,0.965925826,0.763333333,0.308186146,
반응조B,09월01월20 1:20,0,5.98,24.01,,0,0,0,0,0,0,0,0,0,1,1,0.258819045,0.965925826,0,0,
반응조A,09월01월20 1:30,2.25,6.25,23.89,,41.6,1,140,90,50,0.33,0.02,0,0.033,1,1,0.258819045,0.965925826,1.138333333,0.359999942,
반응조B,09월01월20 1:30,0,5.98,24.01,,0,0,0,0,0,0,0,0,0,1,1,0.258819045,0.965925826,0,0,
반응조A,09월01월20 1:40,2.26,6.26,23.92,,55.36,1,140,100,40,0.01,0.01,0.03,0.001,1,1,0.258819045,0.965925826,1.515,0.361022307,
반응조B,09월01월20 1:40,0,5.98,24.01,,0,0,0,0,0,0,0,0,0,1,1,0.258819045,0.965925826,0,0,
반응조A,09월01월20 1:50,1.73,6.27,23.95,,54.16,1,140,110,30,-0.53,0.01,0.03,-0.053,1,1,0.258819045,0.965925826,1.745,0.275917021,
반응조B,09월01월20 1:50,0,5.98,24.01,,0,0,0,0,0,0,0,0,0,1,1,0.258819045,0.965925826,0,0,
반응조A,09월01월20 2:00,0.79,6.27,23.95,,54.6,1,140,120,20,-0.94,0,0,-0.094,2,1,0.5,0.866025404,1.728333333,0.12599679,
반응조B,09월01월20 2:00,0,6.08,24.01,,0,0,0,0,0,0,0.1,0,0,2,1,0.5,0.866025404,0,0,
반응조A,09월01월20 2:10,0.03,6.25,23.95,,53.04,1,140,130,10,-0.76,-0.02,0,-0.076,2,1,0.5,0.866025404,1.496666667,0.004799999,
반응조B,09월01월20 2:10,0,6.21,24.01,,0,0,0,0,0,0,0.13,0,0,2,1,0.5,0.866025404,0,0,
반응조A,09월01월20 2:20,0,6.21,23.95,,0,0,0,0,0,-0.03,-0.04,0,-0.003,2,1,0.5,0.866025404,1.176666667,0,
반응조B,09월01월20 2:20,0,6.13,24.08,,0,0,0,0,0,0,-0.08,0.07,0,2,1,0.5,0.866025404,0,0,
반응조A,09월01월20 2:30,0,6.13,23.98,,58.96,1,20,0,20,0,-0.08,0.03,0,2,1,0.5,0.866025404,0.801666667,0,
반응조B,09월01월20 2:30,0,6.04,24.01,,56.36,1,100,0,100,0,-0.09,-0.07,0,2,1,0.5,0.866025404,0,0,
반응조A,09월01월20 2:40,0,6.12,23.98,,55.48,1,20,10,10,0,-0.01,0,0,2,1,0.5,0.866025404,0.425,0,
반응조B,09월01월20 2:40,0,5.97,23.98,,3.12,1,100,10,90,0,-0.07,-0.03,0,2,1,0.5,0.866025404,0,0,
반응조A,09월01월20 2:50,0,6.13,24.01,,0,0,0,0,0,0,0.01,0.03,0,2,1,0.5,0.866025404,0.136666667,0,
반응조B,09월01월20 2:50,0,5.9,23.98,,3.76,1,100,20,80,0,-0.07,0,0,2,1,0.5,0.866025404,0,0,
반응조A,09월01월20 3:00,0,6.08,24.01,,0,0,0,0,0,0,-0.05,0,0,3,1,0.707106781,0.707106781,0.005,0,
반응조B,09월01월20 3:00,0,5.82,23.95,,4.08,1,100,30,70,0,-0.08,-0.03,0,3,1,0.707106781,0.707106781,0,0,
반응조A,09월01월20 3:10,0,6.07,24.01,,0,0,0,0,0,0,-0.01,0,0,3,1,0.707106781,0.707106781,0,0,
반응조B,09월01월20 3:10,0.27,6.1,23.92,,4.12,1,100,40,60,0.27,0.28,-0.03,0.027,3,1,0.707106781,0.707106781,0.045,0.044262288,
반응조A,09월01월20 3:20,0,6.07,24.01,,0,0,0,0,0,0,0,0,0,3,1,0.707106781,0.707106781,0,0,
반응조B,09월01월20 3:20,1.61,6.12,23.89,,4.16,1,100,50,50,1.34,0.02,-0.03,0.134,3,1,0.707106781,0.707106781,0.313333333,0.263071852,
반응조A,09월01월20 3:30,0,6.08,24.08,,0,0,0,0,0,0,0.01,0.07,0,3,1,0.707106781,0.707106781,0,0,
반응조B,09월01월20 3:30,2.4,6.12,23.89,,4.04,1,100,60,40,0.79,0,0,0.079,3,1,0.707106781,0.707106781,0.713333333,0.392156799,
반응조A,09월01월20 3:40,0,6.08,24.04,,0,0,0,0,0,0,0,-0.04,0,3,1,0.707106781,0.707106781,0,0,
반응조B,09월01월20 3:40,2.9,6.13,23.89,,4.12,1,100,70,30,0.5,0.01,0,0.05,3,1,0.707106781,0.707106781,1.196666667,0.47308312,
반응조A,09월01월20 3:50,0,6.08,24.08,,0,0,0,0,0,0,0,0.04,0,3,1,0.707106781,0.707106781,0,0,
반응조B,09월01월20 3:50,3.55,6.14,23.86,,4.04,1,100,80,20,0.65,0.01,-0.03,0.065,3,1,0.707106781,0.707106781,1.788333333,0.578175802,
반응조A,09월01월20 4:00,0,6.08,24.08,,0,0,0,0,0,0,0,0,0,4,1,0.866025404,0.5,0,0,
반응조B,09월01월20 4:00,3.99,6.14,23.83,,4,1,100,90,10,0.44,0,-0.03,0.044,4,1,0.866025404,0.5,2.453333333,0.649837028,
반응조A,09월01월20 4:10,0,6.08,24.08,,0,0,0,0,0,0,0,0,0,4,1,0.866025404,0.5,0,0,
반응조B,09월01월20 4:10,4.38,6.15,23.83,,0,0,0,0,0,0.39,0.01,0,0.039,4,1,0.866025404,0.5,3.138333333,0.712195006,
반응조A,09월01월20 4:20,0,6.08,24.08,,0,0,0,0,0,0,0,0,0,4,1,0.866025404,0.5,0,0,
반응조B,09월01월20 4:20,4.21,6.15,23.83,,53.4,1,90,0,90,-0.17,0,0,-0.017,4,1,0.866025404,0.5,3.571666667,0.684552734,
반응조A,09월01월20 4:30,0,6.09,24.08,,0,0,0,0,0,0,0.01,0,0,4,1,0.866025404,0.5,0,0,
반응조B,09월01월20 4:30,2.62,6.17,23.89,,54.56,1,90,10,80,-1.59,0.02,0.06,-0.159,4,1,0.866025404,0.5,3.608333333,0.424635263,
