계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,08월01월20 0:00,0,1.69,6.22,21.29,5,1,140,0,140,0,0,0,0,0,5,0,1,0,0,8.848553602
반응조B,08월01월20 0:00,0,4.99,6.09,21.26,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,8.853575482
반응조A,08월01월20 0:10,0,0.95,6.23,21.29,4.64,1,140,10,130,0,-0.74,0.01,0,0,5,0,1,0,0,8.848553602
반응조B,08월01월20 0:10,0,4.24,6.09,21.26,0,0,0,0,0,0,-0.75,0,0,0,5,0,1,0,0,8.853575482
반응조A,08월01월20 0:20,0,1.1,6.26,21.26,4.6,1,140,20,120,0,0.15,0.03,0,0,5,0,1,0,0,8.853575482
반응조B,08월01월20 0:20,0,3.4,6.09,21.29,0,0,0,0,0,0,-0.84,0,0,0,5,0,1,0,0,8.848553602
반응조A,08월01월20 0:30,0,0.7,6.27,21.26,4.8,1,140,30,110,0,-0.4,0.01,0,0,5,0,1,0,0,8.853575482
반응조B,08월01월20 0:30,0,2.81,6.1,21.33,0,0,0,0,0,0,-0.59,0.01,0,0,5,0,1,0,0,8.841866616
반응조A,08월01월20 0:40,0.01,1,6.27,21.26,4.56,1,140,40,100,0.01,0.3,0,0.001,0,5,0,1,0.002,0.00999999,8.853575482
반응조B,08월01월20 0:40,0,2.36,6.1,21.33,0,0,0,0,0,0,-0.45,0,0,0,5,0,1,0,0,8.841866616
반응조A,08월01월20 0:50,0.37,1.03,6.28,21.26,4.36,1,140,50,90,0.36,0.03,0.01,0.036,0,5,0,1,0.063333333,0.359222952,8.853575482
반응조B,08월01월20 0:50,0,1.92,6.1,21.33,0,0,0,0,0,0,-0.44,0,0,0,5,0,1,0,0,8.841866616
반응조A,08월01월20 1:00,0.65,1.01,6.28,21.26,4.28,1,140,60,80,0.28,-0.02,0,0.028,1,5,0.258819045,0.965925826,0.171666667,0.643563719,8.853575482
반응조B,08월01월20 1:00,0,1.68,6.1,21.36,0,0,0,0,0,0,-0.24,0,0,1,5,0.258819045,0.965925826,0,0,8.836858006
반응조A,08월01월20 1:10,0.6,0.83,6.27,21.26,51.92,1,140,70,70,-0.05,-0.18,-0.01,-0.005,1,5,0.258819045,0.965925826,0.271666667,0.722890695,8.853575482
반응조B,08월01월20 1:10,0,1.73,6.1,21.33,0,0,0,0,0,0,0.05,0,0,1,5,0.258819045,0.965925826,0,0,8.841866616
반응조A,08월01월20 1:20,0.53,1.66,6.29,21.26,50.12,1,140,80,60,-0.07,0.83,0.02,-0.007,1,5,0.258819045,0.965925826,0.36,0.319276916,8.853575482
반응조B,08월01월20 1:20,0,1.67,6.1,21.39,0,0,0,0,0,0,-0.06,0,0,1,5,0.258819045,0.965925826,0,0,8.831855067
반응조A,08월01월20 1:30,0.09,1.9,6.3,21.29,49.72,1,140,90,50,-0.44,0.24,0.01,-0.044,1,5,0.258819045,0.965925826,0.375,0.047368396,8.848553602
반응조B,08월01월20 1:30,0,1.64,6.28,21.36,0,0,0,0,0,0,-0.03,0.18,0,1,5,0.258819045,0.965925826,0,0,8.836858006
반응조A,08월01월20 1:40,0,2.64,6.29,21.29,48.8,1,140,100,40,-0.09,0.74,-0.01,-0.009,1,5,0.258819045,0.965925826,0.373333333,0,8.848553602
