계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,2020-11-01 00:00:00,0.0,3.8,6.22,18.39,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0.0,1.0,0.0,0.0,9.361872374474894
반응조B,2020-11-01 00:00:00,3.46,0.81,6.34,18.11,55.72,1,40,0,40,0.0,0.0,0.0,0.0,0,6,0.0,1.0,3.46,4.271599664691771,9.414604707302354
반응조A,2020-11-01 00:10:00,0.0,3.77,6.22,18.39,0.0,0,0,0,0,0.0,-0.029999999999999805,0.0,0.0,0,6,0.0,1.0,0.0,0.0,9.361872374474894
반응조B,2020-11-01 00:10:00,2.72,0.13,6.33,18.08,54.52,1,40,10,30,-0.7399999999999998,-0.68,-0.009999999999999787,-0.07399999999999998,0,6,0.0,1.0,3.09,20.922915977569403,9.420289855072463
반응조A,2020-11-01 00:20:00,0.0,3.7,6.23,18.39,0.0,0,0,0,0,0.0,-0.06999999999999984,0.010000000000000675,0.0,0,6,0.0,1.0,0.0,0.0,9.361872374474894
반응조B,2020-11-01 00:20:00,1.6,2.33,6.32,18.08,53.52,1,40,20,20,-1.12,2.2,-0.009999999999999787,-0.11200000000000002,0,6,0.0,1.0,2.5933333333333333,0.6866949842510797,9.420289855072463
반응조A,2020-11-01 00:30:00,0.0,3.5,6.23,18.39,0.0,0,0,0,0,0.0,-0.20000000000000018,0.0,0.0,0,6,0.0,1.0,0.0,0.0,9.361872374474894
반응조B,2020-11-01 00:30:00,0.29,2.56,6.29,18.08,51.64,1,40,30,10,-1.31,0.22999999999999998,-0.03000000000000025,-0.131,0,6,0.0,1.0,2.0175,0.11328120574952899,9.420289855072463
반응조A,2020-11-01 00:40:00,0.0,3.39,6.23,18.39,0.0,0,0,0,0,0.0,-0.10999999999999988,0.0,0.0,0,6,0.0,1.0,0.0,0.0,9.361872374474894
반응조B,2020-11-01 00:40:00,0.0,2.0,6.24,18.14,0.0,0,0,0,0,-0.29,-0.56,-0.04999999999999982,-0.028999999999999998,0,6,0.0,1.0,1.614,0.0,9.408926417370326
반응조A,2020-11-01 00:50:00,0.0,3.52,6.25,18.39,0.0,0,0,0,0,0.0,0.1299999999999999,0.019999999999999574,0.0,0,6,0.0,1.0,0.0,0.0,9.361872374474894
반응조B,2020-11-01 00:50:00,0.0,3.15,6.24,18.14,54.0,1,20,0,20,0.0,1.15,0.0,0.0,0,6,0.0,1.0,1.345,0.0,9.408926417370326
반응조A,2020-11-01 01:00:00,0.0,3.3,6.25,18.39,55.48,1,110,0,110,0.0,-0.2200000000000002,0.0,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.361872374474894
반응조B,2020-11-01 01:00:00,0.0,4.67,6.21,18.14,55.24,1,20,10,10,0.0,1.52,-0.03000000000000025,0.0,1,6,0.25881904510252074,0.9659258262890683,0.7683333333333334,0.0,9.408926417370326
반응조A,2020-11-01 01:10:00,0.0,2.14,6.3,18.26,4.52,1,110,10,100,0.0,-1.1599999999999997,0.04999999999999982,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.386281588447654
반응조B,2020-11-01 01:10:00,0.0,2.95,6.17,18.14,0.0,0,0,0,0,0.0,-1.7199999999999998,-0.040000000000000036,0.0,1,6,0.25881904510252074,0.9659258262890683,0.315,0.0,9.408926417370326
반응조A,2020-11-01 01:20:00,0.0,2.37,6.31,18.29,4.56,1,110,20,90,0.0,0.22999999999999998,0.009999999999999787,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.380637402285027
반응조B,2020-11-01 01:20:00,0.0,6.59,6.15,18.17,54.0,1,10,0,10,0.0,3.6399999999999997,-0.019999999999999574,0.0,1,6,0.25881904510252074,0.9659258262890683,0.04833333333333333,0.0,9.403254972875226
반응조A,2020-11-01 01:30:00,0.0,0.93,6.34,18.26,4.32,1,110,30,80,0.0,-1.44,0.03000000000000025,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.386281588447654
반응조B,2020-11-01 01:30:00,0.0,5.07,6.16,18.14,0.0,0,0,0,0,0.0,-1.5199999999999996,0.009999999999999787,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.408926417370326
반응조A,2020-11-01 01:40:00,0.0,0.57,6.36,18.26,4.36,1,110,40,70,0.0,-0.3600000000000001,0.020000000000000462,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.386281588447654
반응조B,2020-11-01 01:40:00,0.0,1.63,6.14,18.2,0.0,0,0,0,0,0.0,-3.4400000000000004,-0.020000000000000462,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.397590361445785
반응조A,2020-11-01 01:50:00,0.0,0.77,6.37,18.26,4.2,1,110,50,60,0.0,0.20000000000000007,0.009999999999999787,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.386281588447654
반응조B,2020-11-01 01:50:00,0.0,6.41,6.13,18.23,0.0,0,0,0,0,0.0,4.78,-0.009999999999999787,0.0,1,6,0.25881904510252074,0.9659258262890683,0.0,0.0,9.391932570740519
반응조A,2020-11-01 02:00:00,0.0,1.31,6.39,18.2,4.68,1,110,60,50,0.0,0.54,0.019999999999999574,0.0,2,6,0.49999999999999994,0.8660254037844387,0.0,0.0,9.397590361445785
반응조B,2020-11-01 02:00:00,0.0,4.53,6.13,18.26,0.0,0,0,0,0,0.0,-1.88,0.0,0.0,2,6,0.49999999999999994,0.8660254037844387,0.0,0.0,9.386281588447654
반응조A,2020-11-01 02:10:00,0.2,1.07,6.4,18.2,4.8,1,110,70,40,0.2,-0.24,0.010000000000000675,0.02,2,6,0.49999999999999994,0.8660254037844387,0.03333333333333333,0.1869157131628849,9.397590361445785
반응조B,2020-11-01 02:10:00,0.0,0.72,6.12,18.26,0.0,0,0,0,0,0.0,-3.8100000000000005,-0.009999999999999787,0.0,2,6,0.49999999999999994,0.8660254037844387,0.0,0.0,9.386281588447654
반응조A,2020-11-01 02:20:00,0.82,1.28,6.4,18.2,4.48,1,110,80,30,0.6199999999999999,0.20999999999999996,0.0,0.061999999999999986,2,6,0.49999999999999994,0.8660254037844387,0.17,0.6406244995121098,9.397590361445785
반응조B,2020-11-01 02:20:00,0.0,2.68,6.12,18.26,0.0,0,0,0,0,0.0,1.9600000000000002,0.0,0.0,2,6,0.49999999999999994,0.8660254037844387,0.0,0.0,9.386281588447654
반응조A,2020-11-01 02:30:00,1.55,1.16,6.41,18.2,4.28,1,110,90,20,0.7300000000000001,-0.1200000000000001,0.009999999999999787,0.07300000000000001,2,6,0.49999999999999994,0.8660254037844387,0.4283333333333333,1.3362057446502205,9.397590361445785
반응조B,2020-11-01 02:30:00,0.0,3.57,6.12,18.33,0.0,0,0,0,0,0.0,0.8899999999999997,0.0,0.0,2,6,0.49999999999999994,0.8660254037844387,0.0,0.0,9.373122371319848
반응조A,2020-11-01 02:40:00,2.27,0.99,6.42,18.2,4.36,1,110,100,10,0.72,-0.16999999999999993,0.009999999999999787,0.072,2,6,0.49999999999999994,0.8660254037844387,0.8066666666666666,2.2929269768414375,9.397590361445785
반응조B,2020-11-01 02:40:00,0.0,3.45,6.12,18.33,0.0,0,0,0,0,0.0,-0.11999999999999966,0.0,0.0,2,6,0.49999999999999994,0.8660254037844387,0.0,0.0,9.373122371319848
반응조A,2020-11-01 02:50:00,2.57,0.82,6.41,18.2,0.0,0,0,0,0,0.2999999999999998,-0.17000000000000004,-0.009999999999999787,0.02999999999999998,2,6,0.49999999999999994,0.8660254037844387,1.235,3.1341425193383907,9.397590361445785
반응조B,2020-11-01 02:50:00,0.0,3.38,6.11,18.39,0.0,0,0,0,0,0.0,-0.07000000000000028,-0.009999999999999787,0.0,2,6,0.49999999999999994,0.8660254037844387,0.0,0.0,9.361872374474894
반응조A,2020-11-01 03:00:00,2.57,0.92,6.44,18.17,51.72,1,40,0,40,0.0,0.10000000000000009,0.03000000000000025,0.0,3,6,0.7071067811865476,0.7071067811865476,1.6633333333333333,2.7934752244834513,9.403254972875226
반응조B,2020-11-01 03:00:00,0.0,3.67,6.13,18.36,0.0,0,0,0,0,0.0,0.29000000000000004,0.019999999999999574,0.0,3,6,0.7071067811865476,0.7071067811865476,0.0,0.0,9.367493995196156
반응조A,2020-11-01 03:10:00,2.24,1.34,6.44,18.14,51.36,1,40,10,30,-0.3299999999999996,0.42000000000000004,0.0,-0.03299999999999996,3,6,0.7071067811865476,0.7071067811865476,2.0033333333333334,1.6716405435518333,9.408926417370326
반응조B,2020-11-01 03:10:00,0.0,3.83,6.12,18.33,0.0,0,0,0,0,0.0,0.16000000000000014,-0.009999999999999787,0.0,3,6,0.7071067811865476,0.7071067811865476,0.0,0.0,9.373122371319848
반응조A,2020-11-01 03:20:00,1.28,2.18,6.43,18.17,51.2,1,40,20,20,-0.9600000000000002,0.8400000000000001,-0.010000000000000675,-0.09600000000000002,3,6,0.7071067811865476,0.7071067811865476,2.08,0.5871556939652779,9.403254972875226
반응조B,2020-11-01 03:20:00,0.0,3.69,6.14,18.33,0.0,0,0,0,0,0.0,-0.14000000000000012,0.019999999999999574,0.0,3,6,0.7071067811865476,0.7071067811865476,0.0,0.0,9.373122371319848
반응조A,2020-11-01 03:30:00,0.19,2.71,6.42,18.2,49.68,1,40,30,10,-1.09,0.5299999999999998,-0.009999999999999787,-0.10900000000000001,3,6,0.7071067811865476,0.7071067811865476,1.8533333333333333,0.07011067523591319,9.397590361445785
반응조B,2020-11-01 03:30:00,0.0,3.66,6.14,18.33,0.0,0,0,0,0,0.0,-0.029999999999999805,0.0,0.0,3,6,0.7071067811865476,0.7071067811865476,0.0,0.0,9.373122371319848
반응조A,2020-11-01 03:40:00,0.0,3.83,6.37,18.2,0.0,0,0,0,0,-0.19,1.12,-0.04999999999999982,-0.019,3,6,0.7071067811865476,0.7071067811865476,1.4749999999999999,0.0,9.397590361445785
반응조B,2020-11-01 03:40:00,0.0,3.63,6.24,18.33,0.0,0,0,0,0,0.0,-0.03000000000000025,0.10000000000000053,0.0,3,6,0.7071067811865476,0.7071067811865476,0.0,0.0,9.373122371319848
반응조A,2020-11-01 03:50:00,0.0,3.33,6.38,18.23,52.0,1,20,0,20,0.0,-0.5,0.009999999999999787,0.0,3,6,0.7071067811865476,0.7071067811865476,1.0466666666666666,0.0,9.391932570740519
반응조B,2020-11-01 03:50:00,0.0,3.49,6.25,18.33,0.0,0,0,0,0,0.0,-0.13999999999999968,0.009999999999999787,0.0,3,6,0.7071067811865476,0.7071067811865476,0.0,0.0,9.373122371319848
반응조A,2020-11-01 04:00:00,0.0,4.3,6.37,18.2,52.24,1,20,10,10,0.0,0.9699999999999998,-0.009999999999999787,0.0,4,6,0.8660254037844386,0.5000000000000001,0.6183333333333334,0.0,9.397590361445785
반응조B,2020-11-01 04:00:00,0.0,3.53,6.28,18.36,0.0,0,0,0,0,0.0,0.03999999999999959,0.03000000000000025,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.367493995196156
반응조A,2020-11-01 04:10:00,0.0,4.44,6.33,18.2,0.0,0,0,0,0,0.0,0.14000000000000057,-0.040000000000000036,0.0,4,6,0.8660254037844386,0.5000000000000001,0.245,0.0,9.397590361445785
반응조B,2020-11-01 04:10:00,0.0,1.79,6.29,18.29,4.16,1,220,0,220,0.0,-1.7399999999999998,0.009999999999999787,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.380637402285027
반응조A,2020-11-01 04:20:00,0.0,4.87,6.3,18.23,51.92,1,10,0,10,0.0,0.4299999999999997,-0.03000000000000025,0.0,4,6,0.8660254037844386,0.5000000000000001,0.03166666666666667,0.0,9.391932570740519
반응조B,2020-11-01 04:20:00,0.0,2.13,6.23,18.2,3.84,1,220,10,210,0.0,0.33999999999999986,-0.05999999999999961,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.397590361445785
반응조A,2020-11-01 04:30:00,0.0,6.27,6.27,18.23,0.0,0,0,0,0,0.0,1.3999999999999995,-0.03000000000000025,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.391932570740519
반응조B,2020-11-01 04:30:00,0.0,2.39,6.2,18.2,4.04,1,220,20,200,0.0,0.26000000000000023,-0.03000000000000025,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.397590361445785
반응조A,2020-11-01 04:40:00,0.0,4.92,6.22,18.29,0.0,0,0,0,0,0.0,-1.3499999999999996,-0.04999999999999982,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.380637402285027
반응조B,2020-11-01 04:40:00,0.0,1.62,6.22,18.2,3.96,1,220,30,190,0.0,-0.77,0.019999999999999574,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.397590361445785
반응조A,2020-11-01 04:50:00,0.0,4.86,6.21,18.33,0.0,0,0,0,0,0.0,-0.05999999999999961,-0.009999999999999787,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.373122371319848
반응조B,2020-11-01 04:50:00,0.0,0.89,6.23,18.2,4.04,1,220,40,180,0.0,-0.7300000000000001,0.010000000000000675,0.0,4,6,0.8660254037844386,0.5000000000000001,0.0,0.0,9.397590361445785
반응조A,2020-11-01 05:00:00,0.0,4.6,6.2,18.33,0.0,0,0,0,0,0.0,-0.2600000000000007,-0.009999999999999787,0.0,5,6,0.9659258262890683,0.25881904510252074,0.0,0.0,9.373122371319848
반응조B,2020-11-01 05:00:00,0.0,1.3,6.23,18.2,4.36,1,220,50,170,0.0,0.41000000000000003,0.0,0.0,5,6,0.9659258262890683,0.25881904510252074,0.0,0.0,9.397590361445785
