계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,2020-07-01 00:00:00,0.0,4.59,5.94,22.08,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,0.0,0.0,8.71833084947839
반응조B,2020-07-01 00:00:00,4.4,1.56,6.2,21.76,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,4.4,2.820511012492941,8.770614692653673
반응조A,2020-07-01 00:10:00,0.0,0.21,5.94,22.08,0.0,0,0,0,0,0.0,-4.38,0.0,0.0,0,2,0.0,1.0,0.0,0.0,8.71833084947839
반응조B,2020-07-01 00:10:00,3.85,2.15,6.2,21.79,54.96,1,40,0,40,-0.5500000000000003,0.5899999999999999,0.0,-0.05500000000000003,0,2,0.0,1.0,4.125,1.7906968415363527,8.765686458138228
반응조A,2020-07-01 00:20:00,0.0,2.27,5.94,22.08,0.0,0,0,0,0,0.0,2.06,0.0,0.0,0,2,0.0,1.0,0.0,0.0,8.71833084947839
반응조B,2020-07-01 00:20:00,3.09,2.11,6.21,21.76,53.28,1,40,10,30,-0.7600000000000002,-0.040000000000000036,0.009999999999999787,-0.07600000000000003,0,2,0.0,1.0,3.78,1.4644542822491553,8.770614692653673
반응조A,2020-07-01 00:30:00,0.0,0.0,5.95,22.08,0.0,0,0,0,0,0.0,-2.27,0.009999999999999787,0.0,0,2,0.0,1.0,0.0,0.0,8.71833084947839
반응조B,2020-07-01 00:30:00,2.13,3.06,6.2,21.83,51.4,1,40,20,20,-0.96,0.9500000000000002,-0.009999999999999787,-0.096,0,2,0.0,1.0,3.3675,0.6960782038960117,8.75912408759124
반응조A,2020-07-01 00:40:00,0.0,0.0,5.95,22.11,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0.0,1.0,0.0,0.0,8.713461180413331
반응조B,2020-07-01 00:40:00,1.29,3.69,6.17,21.83,51.76,1,40,30,10,-0.8399999999999999,0.6299999999999999,-0.03000000000000025,-0.08399999999999999,0,2,0.0,1.0,2.952,0.34959340119420024,8.75912408759124
반응조A,2020-07-01 00:50:00,0.0,1.1,5.94,22.11,9.28,1,100,0,100,0.0,1.1,-0.009999999999999787,0.0,0,2,0.0,1.0,0.0,0.0,8.713461180413331
반응조B,2020-07-01 00:50:00,0.56,4.24,6.12,21.83,2.68,0,0,0,0,-0.73,0.5500000000000003,-0.04999999999999982,-0.073,0,2,0.0,1.0,2.5533333333333332,0.13207544054824516,8.75912408759124
반응조A,2020-07-01 01:00:00,0.0,0.0,6.02,22.01,4.0,1,100,10,90,0.0,-1.1,0.07999999999999918,0.0,1,2,0.25881904510252074,0.9659258262890683,0.0,0.0,8.729714605484052
반응조B,2020-07-01 01:00:00,0.32,4.17,6.11,21.89,56.32,1,40,0,40,-0.24000000000000005,-0.07000000000000028,-0.009999999999999787,-0.024000000000000004,1,2,0.25881904510252074,0.9659258262890683,1.8733333333333333,0.0767385907101701,8.749298934380258
반응조A,2020-07-01 01:10:00,0.0,10.45,6.04,22.01,3.68,1,100,20,80,0.0,10.45,0.020000000000000462,0.0,1,2,0.25881904510252074,0.9659258262890683,0.0,0.0,8.729714605484052
반응조B,2020-07-01 01:10:00,0.0,4.2,6.08,21.89,55.32,1,40,10,30,-0.32,0.03000000000000025,-0.03000000000000025,-0.032,1,2,0.25881904510252074,0.9659258262890683,1.2316666666666667,0.0,8.749298934380258
