계측기명,수집시간,nh4,no3,ph,temp,상전류(R),current_aeration,cycle_runtime,elapsed_time,T_remaining,nh4_diff,no3_diff,ph_diff,nh4_decay_rate,hour,weekday,hour_sin,hour_cos,nh4_rolling_mean,nh4_no3_ratio,do_saturation
반응조A,2020-11-01 00:00:00,2.45,3.27,6.41,17.45,6.72,1,60,0,60,0.0,0.0,0.0,0.0,0,6,0.0,1.0,2.45,0.7492352448821882,9.541284403669726
반응조B,2020-11-01 00:00:00,0.01,5.06,6.26,17.45,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0.0,1.0,0.01,0.0019762841944102384,9.541284403669726
반응조A,2020-11-01 00:10:00,1.91,3.87,6.38,17.45,6.9,1,60,10,50,-0.5400000000000003,0.6000000000000001,-0.03000000000000025,-0.05400000000000003,0,6,0.0,1.0,2.18,0.49353992414989034,9.541284403669726
반응조B,2020-11-01 00:10:00,0.01,4.91,6.27,17.45,0.0,0,0,0,0,0.0,-0.14999999999999947,0.009999999999999787,0.0,0,6,0.0,1.0,0.01,0.002036659463002146,9.541284403669726
반응조A,2020-11-01 00:20:00,1.41,3.96,6.34,17.45,6.64,1,60,20,40,-0.5,0.08999999999999986,-0.040000000000000036,-0.05,0,6,0.0,1.0,1.9233333333333331,0.35606051614633427,9.541284403669726
반응조B,2020-11-01 00:20:00,0.0,4.78,6.27,17.45,0.0,0,0,0,0,-0.01,-0.1299999999999999,0.0,-0.001,0,6,0.0,1.0,0.006666666666666667,0.0,9.541284403669726
반응조A,2020-11-01 00:30:00,0.92,4.47,6.33,17.45,6.4,1,60,30,30,-0.4899999999999999,0.5099999999999998,-0.009999999999999787,-0.04899999999999999,0,6,0.0,1.0,1.6725,0.20581650876588173,9.541284403669726
반응조B,2020-11-01 00:30:00,0.0,4.76,6.3,17.45,6.26,1,10,0,10,0.0,-0.020000000000000462,0.03000000000000025,0.0,0,6,0.0,1.0,0.005,0.0,9.541284403669726
반응조A,2020-11-01 00:40:00,0.57,4.49,6.33,17.48,6.38,1,60,40,20,-0.3500000000000001,0.020000000000000462,0.0,-0.03500000000000001,0,6,0.0,1.0,1.452,0.1269487467820163,9.535452322738386
반응조B,2020-11-01 00:40:00,0.15,5.82,6.35,17.39,0.7,0,0,0,0,0.15,1.0600000000000005,0.04999999999999982,0.015,0,6,0.0,1.0,0.033999999999999996,0.025773191447905245,9.552969993876301
